# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,u,g,r,i,z
5.500000000000000000e+00,3.363314609928959146e-10,1.061562303043498144e-04,1.063629522722671806e-04,1.020357325891521327e+01,1.054486331136593691e+01,1.104557049407481628e+01,1.140382675053229633e+01,1.171483096816764657e+01
5.549999999999999822e+00,3.363271351677051022e-10,1.191073911717510338e-04,1.193404278445334078e-04,1.007815541740031051e+01,1.041945969003341332e+01,1.092016966072873174e+01,1.127843730941278011e+01,1.158945014386565475e+01
5.599999999999999645e+00,3.363222815782462941e-10,1.336337725086869557e-04,1.339011962210633685e-04,9.952261655130655527e+00,1.029357695651396654e+01,1.079428457354280368e+01,1.115257741304892392e+01,1.146360725047711782e+01
5.650000000000000355e+00,3.363168358446878871e-10,1.499244325473002336e-04,1.502383968961633624e-04,9.826147671289874097e+00,1.016744853038238006e+01,1.066813959880460772e+01,1.102646318675505910e+01,1.133751106148383059e+01
5.700000000000000178e+00,3.363107257361108947e-10,1.681961597639817347e-04,1.685687226273783351e-04,9.699335793559619390e+00,1.004063694674266571e+01,1.054130634778518782e+01,1.089967171789227507e+01,1.121074689311234351e+01
5.750000000000000000e+00,3.363038702136798187e-10,1.886889214254593226e-04,1.891352899204490551e-04,9.571843976163620482e+00,9.913157771560733522e+00,1.041379740370949492e+01,1.077221142350337146e+01,1.108332050763254983e+01
5.799999999999999822e+00,3.362961783573623118e-10,2.116724330949833676e-04,2.122108588729707391e-04,9.443552453755430065e+00,9.784898926762934934e+00,1.028550052260889913e+01,1.064396904108368602e+01,1.095511881953372324e+01
5.849999999999999645e+00,3.362875481620612152e-10,2.374524859260747443e-04,2.381014447763088037e-04,9.313984475565874277e+00,9.655419454734598617e+00,1.015598252784478461e+01,1.051451693245633834e+01,1.082572132211324600e+01
5.900000000000000355e+00,3.362778651873253406e-10,2.663638288614456084e-04,2.671503689839050777e-04,9.183531052556062946e+00,9.525075043069890057e+00,1.002559080136977343e+01,1.038419318696932692e+01,1.069545522118121994e+01
5.950000000000000178e+00,3.362670010428930757e-10,2.987853934992919409e-04,2.997428022806590932e-04,9.051997618361795617e+00,9.393680652345487658e+00,9.894142852599060234e+00,1.025281586031879044e+01,1.056413901769398933e+01
6.000000000000000000e+00,3.362548116901911995e-10,3.351398809647706742e-04,3.363108603862553889e-04,8.919246965054291820e+00,9.261098511322430227e+00,9.761503478489771624e+00,1.012024959811071056e+01,1.043163514049160057e+01
6.049999999999999822e+00,3.362411355375255976e-10,3.759014634511823158e-04,3.773393183831896315e-04,8.784992777188868729e+00,9.127048538040433812e+00,9.627409230276732899e+00,9.986239047738536101e+00,1.029769031190006245e+01
6.099999999999999645e+00,3.362257913040335868e-10,4.216078333186705821e-04,4.233720188591539690e-04,8.648461360467571524e+00,8.990798786505848739e+00,9.491156806249762212e+00,9.850100724646530637e+00,1.016163460900203575e+01
6.150000000000000355e+00,3.362085756244888758e-10,4.728517353925528323e-04,4.750190574934287191e-04,8.509295888624521353e+00,8.851988380177218119e+00,9.352381352471958564e+00,9.711472395935409452e+00,1.002310556933652208e+01
6.200000000000000178e+00,3.361892603637229642e-10,5.302918797310228471e-04,5.329648397909720345e-04,8.366952689931729026e+00,8.710053554095459560e+00,9.210465797553766265e+00,9.569710044967628448e+00,9.881439993433559721e+00
6.250000000000000000e+00,3.361675896057175422e-10,5.946574630198308729e-04,5.979771138074227660e-04,8.220338372705668917e+00,8.563858550516911805e+00,9.064146453092789102e+00,9.423472276556857707e+00,9.735235652009464502e+00
6.299999999999999822e+00,3.361432762782788540e-10,6.667556769427040357e-04,6.709170961234686009e-04,8.065761138321342116e+00,8.409567066434810556e+00,8.909400051569662082e+00,9.268630293493956174e+00,9.580265290043968207e+00
