# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,u,g,r,i,z
5.500000000000000000e+00,2.125951365414697194e-10,6.705826877030716514e-05,6.723061109070145667e-05,1.124708389071116699e+01,1.158146344944891837e+01,1.207727845435677239e+01,1.243195522548275989e+01,1.274178329810470700e+01
5.549999999999999822e+00,2.125934959246328745e-10,7.523992682264603066e-05,7.543369527491772502e-05,1.112167251192518336e+01,1.145606845786734596e+01,1.195188697857842186e+01,1.230657580317372890e+01,1.261641269634915830e+01
5.599999999999999645e+00,2.125916551373378489e-10,8.441806661594648689e-05,8.463763175005015052e-05,1.099578323368818644e+01,1.133019594791792173e+01,1.182601316571289374e+01,1.218072811603434502e+01,1.249058256515991161e+01
5.650000000000000355e+00,2.125895897589970983e-10,9.471314404546774598e-05,9.496452345370001648e-05,1.086965760213392684e+01,1.120406487831152731e+01,1.169986580172170676e+01,1.205461162508116502e+01,1.236448483096330619e+01
5.700000000000000178e+00,2.125872723902712721e-10,1.062619788158146195e-04,1.065513670828823373e-04,1.074284497045445619e+01,1.107726522292577442e+01,1.157304452480279622e+01,1.192783173621450032e+01,1.223773278491876226e+01
5.750000000000000000e+00,2.125846722898678033e-10,1.192169111978080891e-04,1.195518691003270595e-04,1.061536164902601342e+01,1.094981058817596420e+01,1.144555955788231927e+01,1.180039399870560857e+01,1.211032921912347149e+01
5.799999999999999822e+00,2.125817549670904540e-10,1.337490352037889226e-04,1.341384829870180377e-04,1.048709326671519193e+01,1.082159454349390160e+01,1.131730455538224334e+01,1.167219101581039098e+01,1.198216683112291037e+01
5.849999999999999645e+00,2.125784817247572994e-10,1.500514519526658069e-04,1.505046946528156915e-04,1.035758818604713838e+01,1.069220189601258397e+01,1.118787356110170350e+01,1.154282324559825668e+01,1.185285305765084019e+01
5.900000000000000355e+00,2.125748091464538264e-10,1.683378257878501399e-04,1.688675861701536835e-04,1.022721143075207806e+01,1.056196224362323477e+01,1.105758783261328659e+01,1.141260240287280681e+01,1.172268915094220176e+01
5.950000000000000178e+00,2.125706885213563324e-10,1.888490802940928203e-04,1.894707116576513340e-04,1.009577452603932102e+01,1.043069750974150622e+01,1.092627377534083877e+01,1.128135656282455557e+01,1.159150396729570787e+01
6.000000000000000000e+00,2.125660651990433003e-10,2.118546383050083583e-04,2.125873232227291291e-04,9.963139624635026337e+00,1.029827034531157182e+01,1.079379953179736873e+01,1.114895528824961701e+01,1.145916559346399310e+01
6.049999999999999822e+00,2.125608778657960882e-10,2.376567477120306807e-04,2.385239894588641869e-04,9.829017341913321104e+00,1.016440080432614224e+01,1.065990659775830096e+01,1.101515048811961606e+01,1.132542926077901058e+01
6.099999999999999645e+00,2.125550577328640028e-10,2.665965531314131430e-04,2.676246541192679176e-04,9.692651170145580863e+00,1.002837886932429967e+01,1.052391884443633785e+01,1.087928843437160253e+01,1.118965571555820304e+01
6.150000000000000355e+00,2.125485276260225288e-10,2.990530081672730894e-04,3.002751883266174511e-04,9.553677505792613545e+00,9.889840798369831987e+00,1.038547055970678912e+01,1.074100669604625580e+01,1.105148239092119411e+01
6.200000000000000178e+00,2.125412009644671761e-10,3.354489796492458029e-04,3.369084961033257586e-04,9.411563388078960202e+00,9.748235415385430258e+00,1.024395383813291005e+01,1.059967013364735067e+01,1.091025450793066653e+01
6.250000000000000000e+00,2.125329806156516112e-10,3.762553200576545685e-04,3.780102401811241968e-04,9.265280151678993548e+00,9.602490282017107859e+00,1.009815581491854175e+01,1.045398860452220902e+01,1.076462309665284067e+01
6.299999999999999822e+00,2.125237576110710412e-10,4.219962901219289253e-04,4.241252630841054676e-04,9.111337989193188491e+00,9.449023216218094490e+00,9.944333250325129825e+00,1.030013477989548676e+01,1.061067664811905331e+01
6.349999999999999645e+00,2.125134097061989549e-10,4.732535624630472516e-04,4.758647874445214227e-04,8.946078054375377064e+00,9.283965890854432246e+00,9.778321371530296346e+00,1.013405830192764512e+01,1.044430467822076025e+01
6.400000000000000355e+00,2.125017997657818659e-10,5.306680990493014031e-04,5.339144895299463350e-04,8.773788892327068822e+00,9.111490357908415660e+00,9.604015843871906100e+00,9.959748811703235560e+00,1.026950694565738331e+01
6.450000000000000178e+00,2.124887739534585643e-10,5.949582530170136226e-04,5.990435511464893992e-04,8.590221437676305527e+00,8.926810750369888581e+00,9.416407323066479762e+00,9.772564997132960229e+00,1.008162327368977174e+01
6.500000000000000000e+00,2.124741597021779517e-10,6.669235349302228772e-04,6.721148075494676405e-04,8.398889211219966455e+00,8.731370476816998405e+00,9.217413605492779993e+00,9.573362018652204597e+00,9.881160301194995554e+00
6.549999999999999822e+00,2.124577634391069833e-10,7.474616581154085691e-04,7.540961229042597927e-04,8.223705671650613169e+00,8.540878900712726818e+00,9.018279400114487032e+00,9.369149554683986025e+00,9.668141018759946803e+00
6.599999999999999645e+00,2.124393680356249522e-10,8.374382032670607632e-04,8.460731403144450963e-04,8.060833707359790878e+00,8.352771279464434429e+00,8.819284454836818554e+00,9.162410956368752579e+00,9.450681665009021515e+00
6.650000000000000355e+00,2.124187299495543438e-10,9.379991073174483466e-04,9.492635706674738827e-04,7.912063667970770098e+00,8.175630430365060874e+00,8.632318847896115699e+00,8.967653640284737548e+00,9.247358350942938898e+00
6.700000000000000178e+00,2.123955760229505559e-10,1.050637642501522787e-03,1.065033203686478660e-03,7.790285116070641891e+00,8.033461114895516175e+00,8.481003606269219119e+00,8.808397754023516768e+00,9.079645435677178966e+00
6.750000000000000000e+00,2.123695998945220781e-10,1.176587864019347810e-03,1.194913845828840700e-03,7.681487011196615811e+00,7.904273716687271190e+00,8.336112109473617693e+00,8.649434110324484948e+00,8.904406380664411813e+00
6.799999999999999822e+00,2.123404579810440251e-10,1.317110766405924643e-03,1.340623413219067459e-03,7.576633210584716949e+00,7.765747491195675423e+00,8.170358422635459306e+00,8.459619085586950860e+00,8.686144260599874656e+00
6.849999999999999645e+00,2.123077649769151054e-10,1.473902662258491777e-03,1.504088433863733131e-03,7.482067434478217649e+00,7.626005229069590996e+00,7.998245837289580606e+00,8.258984211410400178e+00,8.451795724630791540e+00
6.900000000000000355e+00,2.122710888152531484e-10,1.648889952237289408e-03,1.687469242173534733e-03,7.404959435916339316e+00,7.507173188057493007e+00,7.835707759211004486e+00,8.058606419255909259e+00,8.213216055407329463e+00
6.950000000000000178e+00,2.122299450275818342e-10,1.844156893561779914e-03,1.893188180530116105e-03,7.344458438057714034e+00,7.427493013278407830e+00,7.713423619603631209e+00,7.891199612408328790e+00,7.999083541536222697e+00
7.000000000000000000e+00,2.121837904321893732e-10,2.062095012669584032e-03,2.123961157492367836e-03,7.291220978165569022e+00,7.367016726297968887e+00,7.625317621650353317e+00,7.764245189191768759e+00,7.827251978024250434e+00
7.049999999999999822e+00,2.121320160736006140e-10,2.305384790828682653e-03,2.382832950436328690e-03,7.239951007990462983e+00,7.306183549391299437e+00,7.544385273710659590e+00,7.654487300968419561e+00,7.684023826003333113e+00
7.099999999999999645e+00,2.120739393272594594e-10,2.576962091450892781e-03,2.673216682141987387e-03,7.191018740085340255e+00,7.245108346470821914e+00,7.468959455762110622e+00,7.556639227859804464e+00,7.559187898687206086e+00
7.150000000000000355e+00,2.120087950744446095e-10,2.880124923333633041e-03,2.998937946216239173e-03,7.144856445198875861e+00,7.187100533554257709e+00,7.400794511855700364e+00,7.471330704685570367e+00,7.452831197661275553e+00
7.200000000000000178e+00,2.119357258426179754e-10,3.218634222310831367e-03,3.364284105349388872e-03,7.101416643462520994e+00,7.133607197231143005e+00,7.338067902071237825e+00,7.393926896481872291e+00,7.358109454229669666e+00
7.250000000000000000e+00,2.118537707958354974e-10,3.596627038551775731e-03,3.774059339261702679e-03,7.060622791985956326e+00,7.084082390514808480e+00,7.279387561808974283e+00,7.320465071030263005e+00,7.267888581542180759e+00
7.299999999999999822e+00,2.117618534485557778e-10,4.018688095594929836e-03,4.233646075660338869e-03,7.021750962441387856e+00,7.037605519630794504e+00,7.225216440103316984e+00,7.253438447454385596e+00,7.186921416056293310e+00
7.349999999999999645e+00,2.116587679642156066e-10,4.490050870195536926e-03,4.749073497361273183e-03,6.983847481584902539e+00,6.991888857096924426e+00,7.173006264122101072e+00,7.191095997439632015e+00,7.114307442919070468e+00
7.400000000000000355e+00,2.115431638874034946e-10,5.016498048924708346e-03,5.327093881421851064e-03,6.946814617603010333e+00,6.946016282562403887e+00,7.120665158442236020e+00,7.129852823175284016e+00,7.044658945283060802e+00
7.450000000000000178e+00,2.114135291455003056e-10,5.604364855502261614e-03,5.975267590937759915e-03,6.910843821454143665e+00,6.900267987291641703e+00,7.068521579625119955e+00,7.069867773606425487e+00,6.977780309524412417e+00
7.500000000000000000e+00,2.112681711424972880e-10,6.260732033945314197e-03,6.702057605952846039e-03,6.876000801932711681e+00,6.855214497805164342e+00,7.018101678463366966e+00,7.013547458809981094e+00,6.916709466552354968e+00
7.549999999999999822e+00,2.111051957546667098e-10,6.993747827860577644e-03,7.516934545105783717e-03,6.841620559304459448e+00,6.809833540400695995e+00,6.968379489766057588e+00,6.960119229075125702e+00,6.860912816712769313e+00
7.599999999999999645e+00,2.109224840252887656e-10,7.812507656939405437e-03,8.430493191995416802e-03,6.807101930036409954e+00,6.762716763310478996e+00,6.916962730448176444e+00,6.906282412731314935e+00,6.806307904348606996e+00
7.650000000000000355e+00,2.107176663443311009e-10,8.726869423030395381e-03,9.454581596783849864e-03,6.772488490464070310e+00,6.714066886250705579e+00,6.864191837613340397e+00,6.852208979335941308e+00,6.752772226523831023e+00
7.700000000000000178e+00,2.104880938896282180e-10,9.747775250030640479e-03,1.060244387029818033e-02,6.737837781647805002e+00,6.664101905348303490e+00,6.810494907743894544e+00,6.798356616768074900e+00,6.700658895834884277e+00
7.750000000000000000e+00,2.102308070997675861e-10,1.088742015733520398e-02,1.188887781960139625e-02,6.703376803213423329e+00,6.613391210110606266e+00,6.756293249834619985e+00,6.744934518425424130e+00,6.650001841220891663e+00
7.799999999999999822e+00,2.099425009469138653e-10,1.215938368007546920e-02,1.333040858387005839e-02,6.669580592333247182e+00,6.563122537102429987e+00,6.702085850200006689e+00,6.691656118398086051e+00,6.599941885725321811e+00
7.849999999999999645e+00,2.096194867819506056e-10,1.357870216504999082e-02,1.494547940868625954e-02,6.636739706202995137e+00,6.513905437593649594e+00,6.648230682622475740e+00,6.638383062330063922e+00,6.549843390261692377e+00
