# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,u,g,r,i,z
5.500000000000000000e+00,5.003494851504283936e-10,1.579247597336838290e-04,1.582369093132481193e-04,9.701820760136918409e+00,1.004483007311118570e+01,1.054401519640732232e+01,1.090168523003692513e+01,1.121512213647628187e+01
5.549999999999999822e+00,5.003398320951906082e-10,1.771910579195210044e-04,1.775430197887848728e-04,9.576407918641265837e+00,9.919430766490151541e+00,1.041861809262573502e+01,1.077629957343818035e+01,1.108974443452662229e+01
5.599999999999999645e+00,5.003290014107782066e-10,1.988000676931120283e-04,1.992043886136566613e-04,9.450525365374716102e+00,9.793557122522379643e+00,1.029273933458522094e+01,1.065044521302485236e+01,1.096390535280962553e+01
5.650000000000000355e+00,5.003168494620983173e-10,2.230326311560724896e-04,2.235082859733705015e-04,9.324431357389940445e+00,9.667445243036269176e+00,1.016660476407245284e+01,1.052433851538098963e+01,1.083781382866420984e+01
5.700000000000000178e+00,5.003032151027859492e-10,2.502112229430804671e-04,2.507770045981571835e-04,9.197647008760483800e+00,9.540656035500013843e+00,1.003978437251052469e+01,1.039755457909915037e+01,1.071105213864041872e+01
5.750000000000000000e+00,5.002879175423513518e-10,2.806924772532849353e-04,2.813721254672552400e-04,9.070191189614853045e+00,9.413205697018739215e+00,9.912290808960477762e+00,1.027010109837788576e+01,1.058362504529900150e+01
5.799999999999999822e+00,5.002707539540770817e-10,3.148772706824223594e-04,3.156993020158745632e-04,8.941944603513000800e+00,9.284982476129457041e+00,9.784012047136933177e+00,1.014186459292898235e+01,1.045541880165539084e+01
5.849999999999999645e+00,5.002514967922859875e-10,3.532203834863487514e-04,3.542136255982097155e-04,8.812429704801985508e+00,9.155544143322188688e+00,9.654514406304684826e+00,1.001241710419586184e+01,1.032601163244950015e+01
5.900000000000000355e+00,5.002298907838445835e-10,3.962188521035522621e-04,3.974256424807470680e-04,8.682037940074920357e+00,9.025247310865054828e+00,9.524146554094727435e+00,9.882097940490410792e+00,1.019573268447179260e+01
5.950000000000000178e+00,5.002056495545602740e-10,4.444356118389739853e-04,4.459081010494811881e-04,8.550573335275586828e+00,8.893905591998553462e+00,9.392726282476033361e+00,9.750726172097920141e+00,1.006440130839122560e+01
6.000000000000000000e+00,5.001784518464336445e-10,4.984983502633290797e-04,5.003035173027490417e-04,8.417896146560039483e+00,8.761378839662796736e+00,9.260118778835945363e+00,9.618168095723376609e+00,9.931881846007925674e+00
6.049999999999999822e+00,5.001479372764935638e-10,5.591111337480225794e-04,5.613326571829884738e-04,8.283707891869937612e+00,8.627376589942102214e+00,9.126055379426048830e+00,9.484165399985137412e+00,9.797918803621691097e+00
6.099999999999999645e+00,5.001137015820887835e-10,6.270728399523161451e-04,6.298040459923998600e-04,8.147215156970929684e+00,8.491149341995118505e+00,8.989820634030991187e+00,9.348024777992044676e+00,9.661832364186352606e+00
6.150000000000000355e+00,5.000752912910010498e-10,7.032630607948525290e-04,7.066246281680104357e-04,8.008045311555441970e+00,8.352321961379068682e+00,8.851036926153909690e+00,9.209371448620636613e+00,9.523246717571268505e+00
6.200000000000000178e+00,5.000321977474823027e-10,7.886585697055054512e-04,7.928117152053627435e-04,7.865654135715061557e+00,8.210327503855538112e+00,8.709076695982659544e+00,9.067547934407599541e+00,9.381481932729599293e+00
6.250000000000000000e+00,4.999838504172520809e-10,8.843395787591127287e-04,8.895063756658600504e-04,7.718987796373383503e+00,8.064059068852600376e+00,8.562683196731569524e+00,8.921213647475759956e+00,9.235131782695781055e+00
6.299999999999999822e+00,4.999296093855086875e-10,9.915006060001387185e-04,9.979884391527193976e-04,7.564395534369829477e+00,7.909743358847741490e+00,8.407903825297069034e+00,8.766319074434207437e+00,9.080046698583430498e+00
6.349999999999999645e+00,4.998687569520575178e-10,1.111453492467729450e-03,1.119693306055066220e-03,7.398066280323057242e+00,7.743327098011604903e+00,8.240361554074482342e+00,8.598602661698777183e+00,8.911892684007739263e+00
6.400000000000000355e+00,4.998004882166134698e-10,1.245619474276182673e-03,1.256230776943191530e-03,7.224601084515072102e+00,7.569334247642601099e+00,8.064308037305423227e+00,8.422427438426815627e+00,8.735061566295229341e+00
6.450000000000000178e+00,4.997239005351203120e-10,1.395590941773264563e-03,1.409406139929389240e-03,7.039757880767375298e+00,7.382954507596842575e+00,7.874704286454942803e+00,8.233128220584568169e+00,8.544863469035249182e+00
6.500000000000000000e+00,4.996379817144386712e-10,1.563128568023806160e-03,1.581243781292674191e-03,6.847435893632912496e+00,7.185986763666114996e+00,7.673886431909814121e+00,8.031935378968221073e+00,8.342176485102385186e+00
6.549999999999999822e+00,4.995415967978818026e-10,1.750212259330645621e-03,1.774013614406376319e-03,6.672351787157161596e+00,6.994878931769122232e+00,7.473756292136549462e+00,7.826416409194081325e+00,8.127376761735810362e+00
6.599999999999999645e+00,4.994334732777342491e-10,1.958471177453903391e-03,1.990260654701483771e-03,6.510523620946827350e+00,6.807077805524365033e+00,7.274720595862120831e+00,7.619312095755468306e+00,7.909098949067953299e+00
6.650000000000000355e+00,4.993121845529719711e-10,2.190475719568839297e-03,2.232838104226102151e-03,6.363404386347845332e+00,6.631075098594713779e+00,7.088700613287045371e+00,7.425280389035279427e+00,7.706256918329920325e+00
6.700000000000000178e+00,4.991761314308323671e-10,2.449977314161536079e-03,2.504944348505410128e-03,6.243742692033769970e+00,6.490772165604049349e+00,6.939139769652669543e+00,7.267640708641792457e+00,7.540005866427179626e+00
6.750000000000000000e+00,4.990235214495952128e-10,2.739324695902164899e-03,2.810164310979718517e-03,6.137292067479961588e+00,6.363856491059593168e+00,6.796456356712489821e+00,7.110778646819518656e+00,7.366740663083461982e+00
6.799999999999999822e+00,4.988523457768879196e-10,3.060649196152569369e-03,3.152515656394193171e-03,6.034895344129040495e+00,6.227739073653239643e+00,6.633064065403779352e+00,6.923223393172904139e+00,7.150596976893332624e+00
6.849999999999999645e+00,4.986603534130212613e-10,3.417528680516188511e-03,3.536500384127552830e-03,5.942845743991782115e+00,6.090579093414618228e+00,6.463542526131419663e+00,6.725129517412881341e+00,6.918710856836185030e+00
6.900000000000000355e+00,4.984450224023430318e-10,3.814079810294113658e-03,3.967162405483958681e-03,5.868216402679458099e+00,5.974369375365512269e+00,6.303779198421139540e+00,6.527594646221089647e+00,6.682987322431948485e+00
6.950000000000000178e+00,4.982035277275000460e-10,4.254595995161882492e-03,4.450151755169982383e-03,5.810104675723955836e+00,5.897177967294048528e+00,6.184171846419424412e+00,6.363049783705463369e+00,6.471880588627655584e+00
7.000000000000000000e+00,4.979327055320276911e-10,4.744106986145361221e-03,4.991796146114586309e-03,5.759235162632499794e+00,5.839146988694189133e+00,6.098644989441879716e+00,6.238869840201466843e+00,6.303013417800279683e+00
7.049999999999999822e+00,4.976290132862165220e-10,5.288250660715683102e-03,5.599180637736965276e-03,5.710364918729545991e+00,5.780859880320264210e+00,6.020341731876925451e+00,6.131872658089974948e+00,6.162675900707746734e+00
7.099999999999999645e+00,4.972884854802340966e-10,5.893062244921995138e-03,6.280236249701768615e-03,5.663848181797888515e+00,5.722418627149565395e+00,5.947581790592316509e+00,6.036780189022088905e+00,6.040698836512540026e+00
7.150000000000000355e+00,4.969066843977713736e-10,6.565328181878198749e-03,7.043838414627409845e-03,5.620110915329014745e+00,5.667075629006774307e+00,5.882078804136888550e+00,5.954181454936730233e+00,5.937115042527501885e+00
7.200000000000000178e+00,4.964786454940453959e-10,7.312898996094977302e-03,7.899916222079288869e-03,5.579110953162917497e+00,5.616255822202226966e+00,5.822031449995265007e+00,5.879492572943433970e+00,5.845148694232875641e+00
7.250000000000000000e+00,4.959988168752332740e-10,8.144247627165427522e-03,8.859573459703531245e-03,5.540774077843899192e+00,5.569418822552165693e+00,5.766062649065972323e+00,5.808798852869522023e+00,5.757748571461917209e+00
7.299999999999999822e+00,4.954609923541669095e-10,9.068647053515942538e-03,9.935222501836227585e-03,5.504398713520089359e+00,5.525665969740202854e+00,5.714625420903168163e+00,5.744539830783530476e+00,5.679569800193107199e+00
7.349999999999999645e+00,4.948582375418512464e-10,1.009684028754746603e-02,1.114073212646750702e-02,5.469059611069432947e+00,5.482759799694754577e+00,5.665223335063210186e+00,5.684998390147725900e+00,5.609729761932428005e+00
7.400000000000000355e+00,4.941828084292173623e-10,1.124052435429119881e-02,1.249159035173534431e-02,5.434667244020623400e+00,5.439806661974081692e+00,5.615807491565078635e+00,5.626655674990779232e+00,5.542931281840083102e+00
7.450000000000000178e+00,4.934260619225949560e-10,1.251221410987792167e-02,1.400508336498029055e-02,5.401415015617182291e+00,5.397085654847487035e+00,5.566704229110499114e+00,5.569672468696765577e+00,5.478987341950208645e+00
7.500000000000000000e+00,4.925783578248864999e-10,1.392582498638474803e-02,1.570049156039707988e-02,5.369375933603940609e+00,5.355160706473050425e+00,5.519411067864993470e+00,5.516409083568632354e+00,5.420878060563609324e+00
7.549999999999999822e+00,4.916289518089532821e-10,1.549774270797077760e-02,1.759930359226357516e-02,5.337916090914134770e+00,5.313043191360918627e+00,5.472934924658495959e+00,5.466119964977714574e+00,5.368091250970664419e+00
7.599999999999999645e+00,4.905658790185873668e-10,1.724613358629353485e-02,1.972544917299545036e-02,5.306463292047041591e+00,5.269362406185955194e+00,5.424938088286815230e+00,5.415574689145394416e+00,5.316626543427524609e+00
7.650000000000000355e+00,4.893758280660063921e-10,1.918998419962374136e-02,2.210555107815721440e-02,5.275072957672946927e+00,5.224323676615277634e+00,5.375760816556081068e+00,5.364951690550611829e+00,5.266376412914311800e+00
7.700000000000000178e+00,4.880440053858936697e-10,2.135010864675295633e-02,2.476919643838264642e-02,5.243816098169553186e+00,5.178149022450917016e+00,5.325831786465478501e+00,5.314712394280583396e+00,5.217702911614132688e+00
7.750000000000000000e+00,4.865539901703727676e-10,2.374948230877471297e-02,2.774922686942456543e-02,5.212930284825198157e+00,5.131406698840727643e+00,5.275575997945118445e+00,5.265077786802166315e+00,5.170658230205724237e+00
7.799999999999999822e+00,4.848875804661537480e-10,2.641340901772973662e-02,3.108204627786259264e-02,5.182897375315320687e+00,5.085276273567686189e+00,5.225498495098861440e+00,5.215784374353070518e+00,5.124418804578994013e+00
7.849999999999999645e+00,4.830246314875351292e-10,2.936944069173549193e-02,3.480794423509981500e-02,5.154024274634544156e+00,5.040378340264105361e+00,5.175970293391223720e+00,5.166714569315757899e+00,5.078378651360992535e+00
7.900000000000000355e+00,4.809428878146060340e-10,3.264760912125149600e-02,3.897143158095797005e-02,5.126465448650137091e+00,4.996935654474299326e+00,5.127741684833246438e+00,5.118786299601488565e+00,5.033401718394713953e+00
7.950000000000000178e+00,4.786178119373406560e-10,3.628141669722419194e-02,4.362158333548878802e-02,5.100148875793173886e+00,4.954622255927169761e+00,5.080643543010452845e+00,5.071938342224228791e+00,4.989474953293182580e+00
8.000000000000000000e+00,4.760224126109609231e-10,4.030758132722365994e-02,4.881238198824811719e-02,5.074971817414869690e+00,4.912841669119337951e+00,5.033944533410831923e+00,5.025455666198240579e+00,4.945885696906834994e+00
8.050000000000000711e+00,4.731270777487428860e-10,4.476511225612554712e-02,5.460305171268441810e-02,5.051121970611070822e+00,4.871743981902149301e+00,4.987906928472469303e+00,4.979631441307432738e+00,4.902859729510865350e+00
8.099999999999999645e+00,4.698994181427418157e-10,4.969604670017247622e-02,6.105837092468650168e-02,5.028774755610470493e+00,4.831580179315764667e+00,4.943010217210684232e+00,4.934970362461818638e+00,4.860644305476846228e+00
8.150000000000000355e+00,4.663041302214275914e-10,5.514144065048538768e-02,6.824894676731493859e-02,5.008036115858573112e+00,4.792447141180524284e+00,4.899379001169585024e+00,4.891607970366742109e+00,4.819321738991725113e+00
8.199999999999999289e+00,4.623028883775269980e-10,6.114392634425777628e-02,7.625143045511610651e-02,4.989004716130601480e+00,4.754444616931557732e+00,4.857087045565364747e+00,4.849666894401188699e+00,4.779242471750293930e+00
8.250000000000000000e+00,4.578542801778033158e-10,6.775399093998817068e-02,8.514864685456335902e-02,4.971844345579498281e+00,4.717690425078927774e+00,4.816179564797607782e+00,4.809161341374171172e+00,4.740456796578193632e+00
8.300000000000000711e+00,4.529138010377111189e-10,7.503477624114339439e-02,9.502960513474779936e-02,4.956673586539878329e+00,4.682160595423546567e+00,4.776473816105799131e+00,4.769836314448390624e+00,4.702706927650503133e+00
8.349999999999999645e+00,4.474339287270864517e-10,8.305316037521964789e-02,1.059893497559972475e-01,4.943667875399647471e+00,4.647993501262931204e+00,4.738051161586604110e+00,4.731721403416628391e+00,4.665985199351737833e+00
8.400000000000000355e+00,4.413643023543039745e-10,9.187015258450814681e-02,1.181286025015621799e-01,4.933034733108733860e+00,4.615370544733977454e+00,4.700829441415606880e+00,4.694498668592920865e+00,4.629799266277217384e+00
8.449999999999999289e+00,4.346520351889704043e-10,1.015470717203761503e-01,1.315531368322292449e-01,4.924881377675887961e+00,4.584465579333688368e+00,4.664742623317202685e+00,4.657899069328351516e+00,4.593930106929889234e+00
8.500000000000000000e+00,4.272421956817960944e-10,1.121333855114817063e-01,1.463728158465778528e-01,4.919327141735195141e+00,4.555550450432562570e+00,4.630067122341202435e+00,4.622245153744593438e+00,4.558705071003963383e+00
8.550000000000000711e+00,4.190784960664514249e-10,1.236997209715431506e-01,1.627002150772672850e-01,4.916530093833962667e+00,4.529007376710218580e+00,4.597140004585163808e+00,4.587920249790400362e+00,4.524443562691544685e+00
8.599999999999999645e+00,4.101042325677010576e-10,1.363199968691046482e-01,1.806487420747679984e-01,4.916641240834486837e+00,4.505218738700371262e+00,4.566207246500908923e+00,4.555136227723366460e+00,4.491498434334346257e+00
8.650000000000000355e+00,4.002635248712387993e-10,1.500399846781350077e-01,2.003301574676925045e-01,4.919909130346773907e+00,4.484547303694398579e+00,4.537605618895199200e+00,4.524214601750308873e+00,4.460079174047272943e+00
8.699999999999999289e+00,3.895029042457721832e-10,1.649083475294347845e-01,2.218513987186257197e-01,4.926695089817052065e+00,4.467327176424717550e+00,4.511510763124597645e+00,4.495216304381536077e+00,4.430107749284523777e+00
8.750000000000000000e+00,3.777732983333780420e-10,1.809573056962223703e-01,2.453106105434139650e-01,4.937431494090994022e+00,4.454045399772660119e+00,4.488256458095591483e+00,4.468428813292007362e+00,4.401998095300385216e+00
8.800000000000000711e+00,3.650324545481746728e-10,1.982123307752093055e-01,2.707922981138207730e-01,4.952470327666695482e+00,4.445261433518204797e+00,4.468409104125548481e+00,4.444505242832597958e+00,4.376561621850918016e+00
8.849999999999999645e+00,3.512478312487171807e-10,2.166898062227294586e-01,2.983615447127357934e-01,4.972082051566793837e+00,4.441443337117895851e+00,4.452332368847187638e+00,4.423806083850998050e+00,4.354167256799158281e+00
8.900000000000000355e+00,3.363999639981886827e-10,2.363771538963697905e-01,3.280572792137926852e-01,4.996617629799786187e+00,4.443004746490366585e+00,4.440099799853690854e+00,4.406329406084779521e+00,4.334932888470937939e+00
8.949999999999999289e+00,3.204862806541468566e-10,2.572153642238390603e-01,3.598846459018764099e-01,5.026549055983181802e+00,4.450363087588314670e+00,4.432044450205907538e+00,4.392274597158291272e+00,4.318562249344843451e+00
9.000000000000000000e+00,3.035252910836641362e-10,2.791308801877676049e-01,3.938066250428417514e-01,5.062427255483285649e+00,4.464004268485311400e+00,4.428702858799084652e+00,4.382121435870814707e+00,4.305163376693613486e+00
9.050000000000000711e+00,2.855610127845531359e-10,3.020445180230749704e-01,4.297351816410637793e-01,5.104875226203034799e+00,4.484402856500366852e+00,4.430371544542737183e+00,4.376150445878081996e+00,4.295284131352659074e+00
9.099999999999999645e+00,2.666674116125567183e-10,3.257915857259451875e-01,4.675223839850567442e-01,5.154560082581063796e+00,4.511282433537978420e+00,4.435444414354329012e+00,4.371755841066715220e+00,4.285394866276803327e+00
9.150000000000000355e+00,2.469525384471818160e-10,3.501577498946294997e-01,5.069521303158064374e-01,5.212186213828019277e+00,4.543996232646314581e+00,4.441851923430803595e+00,4.365782910999946864e+00,4.271238202848955723e+00
9.199999999999999289e+00,2.265619329511437293e-10,3.746493899924647208e-01,5.477333413078826485e-01,5.279699249852193077e+00,4.586665032961761312e+00,4.457587848778786110e+00,4.367889230854046900e+00,4.262748494269466448e+00
9.250000000000000000e+00,2.056807549422134311e-10,3.989666848449796022e-01,5.894956973257431398e-01,5.358690737373514423e+00,4.642251463596068106e+00,4.487901006187605901e+00,4.384744362407971607e+00,4.267982330239100008e+00
9.300000000000000711e+00,1.845340097083446039e-10,4.230495237600908620e-01,6.317891877934809219e-01,5.449507373015080702e+00,4.709230470665289658e+00,4.529239405858767498e+00,4.412581907640571899e+00,4.284359064434660525e+00
9.349999999999999645e+00,1.633841814774182107e-10,4.465502400097045577e-01,6.740888442553335524e-01,5.553218068278312103e+00,4.787948808002269629e+00,4.581280922454361360e+00,4.450843229323339756e+00,4.310947473456174350e+00
9.400000000000000355e+00,1.425256128257017410e-10,4.691151600782982878e-01,7.158059815587666241e-01,5.671008706932560983e+00,4.878795951530150887e+00,4.643764024768238130e+00,4.499056423629575363e+00,4.347121389484108533e+00
