# D(g-r),sSNRL
7.1000e-01,-1.4365e+01
7.2000e-01,-1.4365e+01
7.3000e-01,-1.4365e+01
7.4000e-01,-1.4365e+01
7.5000e-01,-1.4365e+01
7.6000e-01,-1.4365e+01
7.7000e-01,-1.4365e+01
7.8000e-01,-1.4365e+01
7.9000e-01,-1.4365e+01
8.0000e-01,-1.4365e+01
8.1000e-01,-1.4365e+01
8.2000e-01,-1.4365e+01
8.3000e-01,-1.4365e+01
8.4000e-01,-1.4365e+01
8.5000e-01,-1.4365e+01
8.6000e-01,-1.4365e+01
8.7000e-01,-1.4365e+01
8.8000e-01,-1.4365e+01
8.9000e-01,-1.4365e+01
9.0000e-01,-1.4365e+01
9.1000e-01,-1.4365e+01
9.2000e-01,-1.4365e+01
9.3000e-01,-1.4365e+01
9.4000e-01,-1.4365e+01
9.5000e-01,-1.4365e+01
9.6000e-01,-1.4365e+01
9.7000e-01,-1.4365e+01
9.8000e-01,-1.4365e+01
9.9000e-01,-1.4365e+01
1.0000e+00,-1.4365e+01
