# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,u,g,r,i,z
5.500000000000000000e+00,3.363314609928959146e-10,1.060980048172615253e-04,1.063629522722671806e-04,1.005888970854186937e+01,1.040341757403948009e+01,1.090764773734598236e+01,1.127039961749564156e+01,1.158537542181277047e+01
5.549999999999999822e+00,3.363271351677051022e-10,1.190399470139614005e-04,1.193404278445334078e-04,9.933828134074808247e+00,1.027833614499780879e+01,1.078255245983822874e+01,1.114529501876254614e+01,1.146026229598574986e+01
5.599999999999999645e+00,3.363222815782462941e-10,1.335534801674296483e-04,1.339011962210633685e-04,9.808614584148450888e+00,1.015306588596013881e+01,1.065724252265317062e+01,1.101995790865481695e+01,1.133490012740930553e+01
5.650000000000000355e+00,3.363168358446878871e-10,1.498303213582116277e-04,1.502383968961633624e-04,9.682977778491448362e+00,1.002735675826679085e+01,1.053147374165358485e+01,1.089414750441576274e+01,1.120905250309144918e+01
5.700000000000000178e+00,3.363107257361108947e-10,1.680842038763972492e-04,1.685687226273783351e-04,9.556826721176030048e+00,9.901124279722729682e+00,1.040516417527205562e+01,1.076778270107512014e+01,1.108263891420707381e+01
5.750000000000000000e+00,3.363038702136798187e-10,1.885525691038941981e-04,1.891352899204490551e-04,9.430323506493465402e+00,9.774517998982901190e+00,1.027846416969315158e+01,1.064101250869387627e+01,1.095580470071114831e+01
5.799999999999999822e+00,3.362961783573623118e-10,2.115054507496829013e-04,2.122108588729707391e-04,9.303116973678008605e+00,9.647214777175634026e+00,1.015106077184458400e+01,1.051352964286628833e+01,1.082824784351532088e+01
5.849999999999999645e+00,3.362875481620612152e-10,2.372461988968028752e-04,2.381014447763088037e-04,9.174807960762905168e+00,9.518843923961199494e+00,1.002259457760866468e+01,1.038498067940619762e+01,1.069962029999749120e+01
5.900000000000000355e+00,3.362778651873253406e-10,2.661088150819620286e-04,2.671503689839050777e-04,9.045580561734666958e+00,9.389572982643613841e+00,9.893242175245205772e+00,1.025554352765179544e+01,1.057009497106032825e+01
5.950000000000000178e+00,3.362670010428930757e-10,2.984699239467030461e-04,2.997428022806590932e-04,8.915191222301118046e+00,9.259176558018552328e+00,9.762798531845064076e+00,1.012502176146623611e+01,1.043947634863302909e+01
6.000000000000000000e+00,3.362548116901911995e-10,3.347506133914250333e-04,3.363108603862553889e-04,8.783431586502032928e+00,9.127459209361518333e+00,9.631085786249443004e+00,9.993245979033417825e+00,1.030759789386432601e+01
6.049999999999999822e+00,3.362411355375255976e-10,3.754164366393939649e-04,3.773393183831896315e-04,8.650545991456425554e+00,8.994641325478895055e+00,9.498323428850923733e+00,9.860436004189992332e+00,1.017467839330846147e+01
6.099999999999999645e+00,3.362257913040335868e-10,4.209912230651442181e-04,4.233720188591539690e-04,8.516293337502176541e+00,8.860485039328153789e+00,9.364263817152149727e+00,9.726343250861177125e+00,1.004047370113352144e+01
6.150000000000000355e+00,3.362085756244888758e-10,4.720509164118053902e-04,4.750190574934287191e-04,8.378217204781527983e+00,8.722449808231239388e+00,9.226165374832625332e+00,9.588145658050805764e+00,9.902108653576171093e+00
6.200000000000000178e+00,3.361892603637229642e-10,5.292132087549621588e-04,5.329648397909720345e-04,8.233770725120393763e+00,8.577631839334102892e+00,9.080954180447285751e+00,9.442747549870837531e+00,9.756408688970942933e+00
